[2025-09-24 17:46:08,613][__main__][INFO] - =====Running train script=====
[2025-09-24 17:46:08,648][__main__][INFO] - Fetched main configs, save directory : ../outputs/norm/traffic/lags504_horizon504/seed_1/instance_NMSE/
[2025-09-24 17:46:08,649][__main__][INFO] - Model PatchTST, norma instance, criterion NMSE, kwargs {'last': False, 'latent': False}
[2025-09-24 17:46:12,123][__main__][INFO] - Fetched dataloaders
[2025-09-24 17:46:12,123][__main__][INFO] - Splits shapes:
train	(689, 1, 10526)
valid1	(689, 1, 3509)
valid2	(173, 1, 10526)
valid3	(173, 1, 3509)
test1	(689, 1, 3509)
test2	(173, 1, 3509)
[2025-09-24 17:46:12,123][__main__][INFO] - Batches:
 X=[64, 1, 504]
 y=[64, 1, 504]
[2025-09-25 02:45:54,370][__main__][INFO] - Step 9400 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3267
[2025-09-25 02:51:31,849][__main__][INFO] - Step 9500 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3264
[2025-09-25 02:57:09,566][__main__][INFO] - Step 9600 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3267
[2025-09-25 03:02:46,974][__main__][INFO] - Step 9700 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3267
[2025-09-25 03:08:24,881][__main__][INFO] - Step 9800 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3268
[2025-09-25 03:14:03,222][__main__][INFO] - Step 9900 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3265
[2025-09-25 03:19:40,986][__main__][INFO] - Step 10000 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3267
[2025-09-25 03:25:18,644][__main__][INFO] - Step 10100 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3271
[2025-09-25 03:30:56,274][__main__][INFO] - Step 10200 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3267
[2025-09-25 03:36:34,109][__main__][INFO] - Step 10300 | valid1 MSE : 0.0006 | valid1 NMSE : 0.3271
